id,category,origin,ground_truth,structure_category,defect_type,source_url,source_file,property,expected,actual,classification_correct,diagnostic_match,diagnostic,expected_nodes,actual_nodes,node_count_match,parse_us,generation_median_us,c_compiled,runtime_supported,target_reached,sanitizer_clean,sanitizer_matched,baseline_attempts,baseline_compiled,baseline_target_hits,baseline_sanitizer_hits,case_passed,tool_output
"I05-deep-double-free-alias","composite-double-free","internal","violation","composite-double-free","composite-double-free","","","",VIOLATION,VIOLATION,true,true,"double free of pointer n4",,6,true,146.368,42.484,true,true,true,false,true,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED ================================================================= ==183938==ERROR: AddressSanitizer: attempting double-free on 0x502000000070 in thread T0: #0 0x7a43450b4537 in __interceptor_free ../../../../src/libsanitizer/asan/asan_malloc_linux.cpp:127 #1 0x59a3be346ebe in target_function reports/all-v1/generated/I05-deep-double-free-alias-runtime.c:85 #2 0x59a3be346956 in main reports/all-v1/generated/I05-deep-double-free-alias-runtime.c:53 #3 0x7a4344429d8f (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) #4 0x7a4344429e3f in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x29e3f) #5 0x59a3be346284 in _start (reports/all-v1/generated/I05-deep-double-free-alias-runtime+0x2284) 0x502000000070 is located 0 bytes inside of 16-byte region [0x502000000070,0x502000000080) freed by thread T0 here: #0 0x7a43450b4537 in __interceptor_free ../../../../src/libsanitizer/asan/asan_malloc_linux.cpp:127 #1 0x59a3be346ead in target_function reports/all-v1/generated/I05-deep-double-free-alias-runtime.c:83 #2 0x59a3be346956 in main reports/all-v1/generated/I05-deep-double-free-alias-runtime.c:53 #3 0x7a4344429d8f (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) previously allocated by thread T0 here: #0 0x7a43450b4887 in __interceptor_malloc ../../../../src/libsanitizer/asan/asan_malloc_linux.cpp:145 #1 0x59a3be346388 in main reports/all-v1/generated/I05-deep-double-free-alias-runtime.c:14 #2 0x7a4344429d8f (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) SUMMARY: AddressSanitizer: double-free ../../../../src/libsanitizer/asan/asan_malloc_linux.cpp:127 in __interceptor_free ==183938==ABORTING"
"I06-deep-use-after-free-alias","composite-use-after-free","internal","violation","composite-use-after-free","composite-use-after-free","","","",VIOLATION,VIOLATION,true,true,"dereference after free of pointer n5",,7,true,203.008,48.086,true,true,true,false,true,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED ================================================================= ==184157==ERROR: AddressSanitizer: heap-use-after-free on address 0x502000000090 at pc 0x5ccfa1497182 bp 0x7ffc451d37d0 sp 0x7ffc451d37c0 READ of size 4 at 0x502000000090 thread T0 #0 0x5ccfa1497181 in target_function reports/all-v1/generated/I06-deep-use-after-free-alias-runtime.c:93 #1 0x5ccfa1496a73 in main reports/all-v1/generated/I06-deep-use-after-free-alias-runtime.c:59 #2 0x759ff0e29d8f (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) #3 0x759ff0e29e3f in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x29e3f) #4 0x5ccfa14962a4 in _start (reports/all-v1/generated/I06-deep-use-after-free-alias-runtime+0x22a4) 0x502000000090 is located 0 bytes inside of 16-byte region [0x502000000090,0x5020000000a0) freed by thread T0 here: #0 0x759ff1ab4537 in __interceptor_free ../../../../src/libsanitizer/asan/asan_malloc_linux.cpp:127 #1 0x5ccfa1497125 in target_function reports/all-v1/generated/I06-deep-use-after-free-alias-runtime.c:91 #2 0x5ccfa1496a73 in main reports/all-v1/generated/I06-deep-use-after-free-alias-runtime.c:59 #3 0x759ff0e29d8f (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) previously allocated by thread T0 here: #0 0x759ff1ab4887 in __interceptor_malloc ../../../../src/libsanitizer/asan/asan_malloc_linux.cpp:145 #1 0x5ccfa14963b6 in main reports/all-v1/generated/I06-deep-use-after-free-alias-runtime.c:15 #2 0x759ff0e29d8f (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) SUMMARY: AddressSanitizer: heap-use-after-free reports/all-v1/generated/I06-deep-use-after-free-alias-runtime.c:93 in target_function Shadow bytes around the buggy address: 0x0a047fff7fc0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0x0a047fff7fd0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0x0a047fff7fe0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0x0a047fff7ff0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0x0a047fff8000: fa fa 00 00 fa fa 00 00 fa fa 00 00 fa fa 00 00 =>0x0a047fff8010: fa fa[fd]fd fa fa 00 00 fa fa 00 00 fa fa fa fa 0x0a047fff8020: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa 0x0a047fff8030: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa 0x0a047fff8040: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa 0x0a047fff8050: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa 0x0a047fff8060: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa Shadow byte legend (one shadow byte represents 8 application bytes): Addressable: 00 Partially addressable: 01 02 03 04 05 06 07 Heap left redzone: fa Freed heap region: fd Stack left redzone: f1 Stack mid redzone: f2 Stack right redzone: f3 Stack after return: f5 Stack use after scope: f8 Global redzone: f9 Global init order: f6 Poisoned by user: f7 Container overflow: fc Array cookie: ac Intra object redzone: bb ASan internal: fe Left alloca redzone: ca Right alloca redzone: cb Shadow gap: cc ==184157==ABORTING"
"I07-doubly-backlink-conflict","composite-doubly-list","internal","unsat","composite-doubly-list","composite-doubly-list","","","",UNSAT,UNSAT,true,true,"n5.prev has conflicting pointer values",,,true,320.097,32.341,,,,,,100,,,,true,""
"I08-doubly-use-after-free","composite-use-after-free","internal","violation","composite-use-after-free","composite-use-after-free","","","",VIOLATION,VIOLATION,true,true,"dereference after free of pointer back",,5,true,141.067,51.787,true,true,true,false,true,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED ================================================================= ==184349==ERROR: AddressSanitizer: heap-use-after-free on address 0x5030000000d0 at pc 0x5f5b483002f5 bp 0x7ffc3aa3ffb0 sp 0x7ffc3aa3ffa0 READ of size 4 at 0x5030000000d0 thread T0 #0 0x5f5b483002f4 in reject_freed_backlink reports/all-v1/generated/I08-doubly-use-after-free-runtime.c:87 #1 0x5f5b482ffaea in main reports/all-v1/generated/I08-doubly-use-after-free-runtime.c:53 #2 0x70183a029d8f (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) #3 0x70183a029e3f in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x29e3f) #4 0x5f5b482ff2a4 in _start (reports/all-v1/generated/I08-doubly-use-after-free-runtime+0x32a4) 0x5030000000d0 is located 0 bytes inside of 24-byte region [0x5030000000d0,0x5030000000e8) freed by thread T0 here: #0 0x70183acb4537 in __interceptor_free ../../../../src/libsanitizer/asan/asan_malloc_linux.cpp:127 #1 0x5f5b4830021b in reject_freed_backlink reports/all-v1/generated/I08-doubly-use-after-free-runtime.c:84 #2 0x5f5b482ffaea in main reports/all-v1/generated/I08-doubly-use-after-free-runtime.c:53 #3 0x70183a029d8f (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) previously allocated by thread T0 here: #0 0x70183acb4887 in __interceptor_malloc ../../../../src/libsanitizer/asan/asan_malloc_linux.cpp:145 #1 0x5f5b482ff3a8 in main reports/all-v1/generated/I08-doubly-use-after-free-runtime.c:15 #2 0x70183a029d8f (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) SUMMARY: AddressSanitizer: heap-use-after-free reports/all-v1/generated/I08-doubly-use-after-free-runtime.c:87 in reject_freed_backlink Shadow bytes around the buggy address: 0x0a067fff7fc0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0x0a067fff7fd0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0x0a067fff7fe0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0x0a067fff7ff0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0x0a067fff8000: fa fa 00 00 00 fa fa fa 00 00 00 fa fa fa 00 00 =>0x0a067fff8010: 00 fa fa fa 00 00 00 fa fa fa[fd]fd fd fa fa fa 0x0a067fff8020: 00 00 00 fa fa fa fa fa fa fa fa fa fa fa fa fa 0x0a067fff8030: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa 0x0a067fff8040: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa 0x0a067fff8050: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa 0x0a067fff8060: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa Shadow byte legend (one shadow byte represents 8 application bytes): Addressable: 00 Partially addressable: 01 02 03 04 05 06 07 Heap left redzone: fa Freed heap region: fd Stack left redzone: f1 Stack mid redzone: f2 Stack right redzone: f3 Stack after return: f5 Stack use after scope: f8 Global redzone: f9 Global init order: f6 Poisoned by user: f7 Container overflow: fc Array cookie: ac Intra object redzone: bb ASan internal: fe Left alloca redzone: ca Right alloca redzone: cb Shadow gap: cc ==184349==ABORTING"
"I09-tree-deep-value-conflict","composite-tree","internal","unsat","composite-tree","composite-tree","","","",UNSAT,UNSAT,true,true,"conflicting numeric constraint for rr.value",,,true,801.617,70.364,,,,,,100,,,,true,""
"I10-tree-alias-inequality","composite-tree-aliasing","internal","unsat","composite-tree-aliasing","composite-tree-aliasing","","","",UNSAT,UNSAT,true,true,"conflicting pointer inequality constraints",,,true,247.302,40.304,,,,,,100,,,,true,""
"I11-tree-child-conflict","composite-tree","internal","unsat","composite-tree","composite-tree","","","",UNSAT,UNSAT,true,true,"rr.left has conflicting pointer values",,,true,239.280,63.151,,,,,,100,,,,true,""
"I12-shared-subtree-use-after-free","composite-tree-aliasing","internal","violation","composite-tree-aliasing","composite-tree-aliasing","","","",VIOLATION,VIOLATION,true,true,"dereference after free of pointer via_right",,8,true,182.701,114.028,true,true,true,false,true,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED ================================================================= ==184632==ERROR: AddressSanitizer: heap-use-after-free on address 0x5030000000d0 at pc 0x5e94318d3835 bp 0x7ffd3d83b990 sp 0x7ffd3d83b980 READ of size 4 at 0x5030000000d0 thread T0 #0 0x5e94318d3834 in reject_freed_shared_subtree reports/all-v1/generated/I12-shared-subtree-use-after-free-runtime.c:111 #1 0x5e94318d2f58 in main reports/all-v1/generated/I12-shared-subtree-use-after-free-runtime.c:74 #2 0x75b3c0429d8f (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) #3 0x75b3c0429e3f in __libc_start_main (/lib/x86_64-linux-gnu/libc.so.6+0x29e3f) #4 0x5e94318d22a4 in _start (reports/all-v1/generated/I12-shared-subtree-use-after-free-runtime+0x32a4) 0x5030000000d0 is located 0 bytes inside of 24-byte region [0x5030000000d0,0x5030000000e8) freed by thread T0 here: #0 0x75b3c10b4537 in __interceptor_free ../../../../src/libsanitizer/asan/asan_malloc_linux.cpp:127 #1 0x5e94318d3749 in reject_freed_shared_subtree reports/all-v1/generated/I12-shared-subtree-use-after-free-runtime.c:108 #2 0x5e94318d2f58 in main reports/all-v1/generated/I12-shared-subtree-use-after-free-runtime.c:74 #3 0x75b3c0429d8f (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) previously allocated by thread T0 here: #0 0x75b3c10b4887 in __interceptor_malloc ../../../../src/libsanitizer/asan/asan_malloc_linux.cpp:145 #1 0x5e94318d23a8 in main reports/all-v1/generated/I12-shared-subtree-use-after-free-runtime.c:15 #2 0x75b3c0429d8f (/lib/x86_64-linux-gnu/libc.so.6+0x29d8f) SUMMARY: AddressSanitizer: heap-use-after-free reports/all-v1/generated/I12-shared-subtree-use-after-free-runtime.c:111 in reject_freed_shared_subtree Shadow bytes around the buggy address: 0x0a067fff7fc0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0x0a067fff7fd0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0x0a067fff7fe0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0x0a067fff7ff0: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0x0a067fff8000: fa fa 00 00 00 fa fa fa 00 00 00 fa fa fa 00 00 =>0x0a067fff8010: 00 fa fa fa 00 00 00 fa fa fa[fd]fd fd fa fa fa 0x0a067fff8020: 00 00 00 fa fa fa 00 00 00 fa fa fa 00 00 00 fa 0x0a067fff8030: fa fa 00 00 00 fa fa fa fa fa fa fa fa fa fa fa 0x0a067fff8040: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa 0x0a067fff8050: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa 0x0a067fff8060: fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa Shadow byte legend (one shadow byte represents 8 application bytes): Addressable: 00 Partially addressable: 01 02 03 04 05 06 07 Heap left redzone: fa Freed heap region: fd Stack left redzone: f1 Stack mid redzone: f2 Stack right redzone: f3 Stack after return: f5 Stack use after scope: f8 Global redzone: f9 Global init order: f6 Poisoned by user: f7 Container overflow: fc Array cookie: ac Intra object redzone: bb ASan internal: fe Left alloca redzone: ca Right alloca redzone: cb Shadow gap: cc ==184632==ABORTING"
"S01-singly-list-50","scale-singly-list","internal","safe","scale-singly-list","scale-singly-list","","","",SAFE,SAFE,true,true,"",50,50,true,407.166,479.849,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"S02-binary-tree-50","scale-binary-tree","internal","safe","scale-binary-tree","scale-binary-tree","","","",SAFE,SAFE,true,true,"",50,50,true,422.631,375.626,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
